Membership No  Date Joined  Active  
    77359      2018-9-16    no    
    70393      2016-3-21    no    
    14950      2018-11-16   no    
    85412      2018-8-2     no    
    79025      2018-3-3     no    
    77415      2016-8-8     no    
    40604      2015-2-6     no    
    79865      2016-7-3     no    
    59178      2019-6-10    no    
    41568      2020-11-2    no    
    79917      2019-12-25   no    
    53394      2018-5-12    no    
    48202      2020-3-24    no    
    59004      2015-7-20    no    
    22306      2020-1-16    no    
