Membership No  Date Joined  Active  
    53203      2018-2-21    yes   
    66633      2015-9-16    yes   
    88202      2018-7-12    yes   
    44196      2016-3-20    yes   
    17502      2016-5-18    yes   
    44216      2015-10-16   yes   
    90539      2019-11-7    yes   
    38230      2018-8-19    yes   
    13781      2018-7-2     yes   
    15760      2020-2-19    yes   
    88355      2020-2-25    yes   
    45063      2017-7-11    yes   
    47497      2016-2-13    yes   
    93473      2016-6-9     yes   
